2024-09-13 18:48:47 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Start writing to database of query: Translation[id=null, ip=37.214.71.177, originalText=я люблю тебя, дорогая, originalLang=ru, translatedText=я люблю цябе, дарагая, targetLang=be, time=2024/09/13 18:48:47, status=200, message=Ok]
2024-09-13 18:48:47 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Connection with database established
2024-09-13 18:48:47 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Query has been successfully recorded
2024-09-13 18:48:47 INFO  c.t.controller.TranslationController - Response is sending to user
2024-09-13 18:49:01 INFO  c.t.controller.TranslationController - Request from user has received: UserRequest[text=ru,, originalLanguage=be, finalLanguage=хай]
2024-09-13 18:49:01 INFO  c.t.s.t.TranslationServiceImpl - Sending translation request: text = ru, 
2024-09-13 18:49:01 INFO  c.t.external.TranslationDefiner - Request has received: text = ru, 
2024-09-13 18:49:01 ERROR c.t.external.TranslationDefiner - Something goes wrong with translation for text <ru,>, status is 403
2024-09-13 18:49:01 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Start writing to database of query: Translation[id=null, ip=37.214.71.177, originalText=ru,, originalLang=be, translatedText=, targetLang=хай, time=2024/09/13 18:49:01, status=403, message='хай' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT]
2024-09-13 18:49:01 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Connection with database established
2024-09-13 18:49:01 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Query has been successfully recorded
2024-09-13 18:49:17 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has terminated working

2024-09-13 18:49:51 INFO  c.tinkoff_lab.TinkoffLabApplication - Application has started working
2024-09-13 18:49:52 INFO  c.tinkoff_lab.TinkoffLabApplication - Starting TinkoffLabApplication using Java 21.0.1 with PID 11524 (C:\Users\Nikita\IdeaProjects\pet-project\target\classes started by Nikita in C:\Users\Nikita\IdeaProjects\pet-project)
2024-09-13 18:49:52 INFO  c.tinkoff_lab.TinkoffLabApplication - No active profile set, falling back to 1 default profile: "default"
2024-09-13 18:49:58 INFO  c.tinkoff_lab.TinkoffLabApplication - Started TinkoffLabApplication in 6.506 seconds (process running for 8.219)
2024-09-13 18:53:12 INFO  c.t.controller.TranslationController - Request from user has received: UserRequest[text=ru,, originalLanguage=be, finalLanguage=я люблю тебя, малышка]
2024-09-13 18:53:16 INFO  c.t.s.t.TranslationServiceImpl - Sending translation request: text = ru, 
2024-09-13 18:56:46 INFO  c.t.external.TranslationDefiner - Request has received: text = ru, 
2024-09-13 18:58:56 INFO  c.t.controller.TranslationController - Request from user has received: UserRequest[text=я люблю тебя, малышка, originalLanguage=ru,, finalLanguage=be]
2024-09-13 18:58:56 INFO  c.t.s.t.TranslationServiceImpl - Sending translation request: text = я люблю тебя, малышка 
2024-09-13 18:58:57 INFO  c.t.external.TranslationDefiner - Request has received: text = я люблю тебя, малышка 
2024-09-13 18:58:57 ERROR c.t.external.TranslationDefiner - Something goes wrong with translation for text <ru,>, status is 403
2024-09-13 18:59:10 ERROR c.t.external.TranslationDefiner - Something goes wrong with translation for text <я люблю тебя, малышка>, status is 403
2024-09-13 18:59:10 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Start writing to database of query: Translation[id=null, ip=37.214.71.177, originalText=ru,, originalLang=be, translatedText=, targetLang=я люблю тебя, малышка, time=2024/09/13 18:58:57, status=403, message='я люблю тебя, малышка' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT]
2024-09-13 18:59:10 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Start writing to database of query: Translation[id=null, ip=37.214.71.177, originalText=я люблю тебя, малышка, originalLang=ru,, translatedText=, targetLang=be, time=2024/09/13 18:59:10, status=403, message='RU,' IS AN INVALID SOURCE LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT]
2024-09-13 18:59:11 INFO  com.tinkoff_lab.dao.jdbc.TranslationDAO - Connection with database established
